cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
UgyRypoyncbWQyGjoX94AaABAg,"Terimakasih Om atas kesempatannya, semoga ada setitik makna yang bisa membantu generasi muda Indonesia tumbuh menjadi lebih bijak.",1 hari yang lalu,@TimothyRonald,UCXMB8OiiSnq2B4xLgUtTYhw,13 rb,613,https://yt3.ggpht.com/jSgk_f3XnOg3d7YnBP1MmD4DZMbwZG8WHJ3aBNjw1LS4j_-i6Uhoyhe0oCn_FFQ8May7QXcsSw=s88-c-k-c0x00ffffff-no-rj,False,False,1750165666.992075,
Ugyo0kzpAehmIp_Mz114AaABAg,"Aku kok merinding ya dengerin obrolan mereka,. Semoga aja lebih banyak orang"" kaya di negeri ini yg memiliki visi seperti timothy, dan kalian yg memiliki tujuan mulia juga di segerakan menjadi orang kaya",1 hari yang lalu (diedit),@wahyudion3014,UCXwV2pLiM-GeTBkXNaqsldA,231,5,https://yt3.ggpht.com/ytc/AIdro_kFJC7e3yQ6SBFqjB2agfQ3QY_bubcqLTtiqX4bsXHcBg=s88-c-k-c0x00ffffff-no-rj,False,False,1750165666.997157,
UgwOAJSD_kdrS02WEvp4AaABAg,"mulia sekali hatimu timoty,, TUHAN memberkatimu untuk jadi berkat buat rakyat2 diNTT .. GBU TIMOTHY RONALD.. RESPECT",1 hari yang lalu,@eeqlu,UCP3QVKAaQydAWhzd3GEl2jA,44,,https://yt3.ggpht.com/ytc/AIdro_mZCpWiempp4fUgmWJgbDGVN5M-X1EPjBSoPEKM79c=s88-c-k-c0x00ffffff-no-rj,False,False,1750165667.000077,
Ugwi2B4Z9yWXjsyC1-p4AaABAg,"Membangun sekolah mudah, membangun manusianya yang susah. Itu yang gue alami sebagai guru SD selama 20 tahun. Namun mulia bangets pemikirannya Timothy Ronald dan kerja nyatanya.",11 jam yang lalu,@gedesaman4998,UCzmdJVJSHzzp6haNJqaNfcg,16,,https://yt3.ggpht.com/tZ-INucwdPPjh2ijBYwNDeRNNU7n3K8QBEw7K5A-bnGN5QgIX24vFB3kPk-YeJPV9wWlz-J3HQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750212467.003077,
UgxblUTbJQMzHj-OQqp4AaABAg,"2 mentor dalam 1 meja. terharu bgtt, semoga bisa berada di taraf hidup kalian berdua di masa depan. Terimakasih banyak untuk segala ilmu yang diberikan❤",1 hari yang lalu,@almasilhamm,UC_JEDqK-9-dBRxrV_m3bHow,505,6,https://yt3.ggpht.com/ytc/AIdro_kflBS5n1DX9G3z-j4Pk29s5YEqXU1AmC3nhqSJRifwv3Y=s88-c-k-c0x00ffffff-no-rj,False,False,1750165667.006076,
Ugz33KM5CvphMpUerqp4AaABAg,"Yang bikin Timothy Ronald beda itu bukan cuma isi omongannya, tapi cara dia menyisipkan sugesti yang masuk halus tanpa kita sadar.
Pas dia ngomong, otak kita bisa mikir, iya juga ya...tapi tanpa disuruh kita tiba-tiba jadi pengen gerak, pengen berubah. itulah poinnya, Nggak kelihatan memotivasi secara langsung, tapi delivery sugestinya masuk. menurut saya, ini bukan sekadar konten motivasi. Tapi semacam transfer mentalitas. Dan jujur aja siapa yang hidupnya sudah banyak berubah bahkan naik level sejak ngikutin timothy???? saya salah satunya",17 jam yang lalu,@bintangsanjaya898,UCXDihj2OMjzA7ubCG3kUZPA,63,4,https://yt3.ggpht.com/ytc/AIdro_njyyKOPP9aYTPmmvr6J2CBYL5KIe9SXZueSJ7fBv639RQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750190867.009158,
UgygiOyGKtWc1wBgDKV4AaABAg,"Timothy mengedukasi dijaman yg tepat,, karna banyak orang pd saat ini memanfaat kan media dgn sangat buruk untuk generasi saat ini dan seterusnya..
Sy se7 dan sangat suka dgn cara timothy memberi semangat dan inspirasi..",19 jam yang lalu,@AdhiPutra-e2p,UC5EshakGdqRC9XgIBmQTSYQ,86,2,https://yt3.ggpht.com/ytc/AIdro_nATaj_XyZ449yTpyY9GNkkpedOEjet8B9ru95ikqwS3Mf-MXvcS1UlV0t6a5VEu6AwMQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750183667.01211,
UgzGfycsPw8KoQ6Pt5t4AaABAg,"Selalu trending, sehat selalu om ded dan mr Timothy 🎉 ꍏꀘꍏꀸꌗ꒒ꂦ꓄",12 jam yang lalu,@syafiraananda7877,UCEWvRnMwL7kV5H4vyyy9ekQ,"2,2 rb",2,https://yt3.ggpht.com/ytc/AIdro_momCzWinqemrHVRkrALpkqOgWMuuCZmQETvZkxuCGOrH4d_knhnFbGxobnamVu-3gWDA=s88-c-k-c0x00ffffff-no-rj,False,False,1750208867.016078,
UgzJGkEQvBFIG2QHldV4AaABAg,"Keluar Kata kata 
""Sekolahnya gratis om"" 
Tiba2 langsung berlinang air mata ini.
Keren broo timoty, 
Salam dari pemuda desa laskar pelangi",1 hari yang lalu,@AndhaGZA8899,UCKqrAY17YB67q7GLaCVEfiQ,73,3,https://yt3.ggpht.com/NFOXasmDADzC59HNRhoz1b6DfsTCs7O9io9T8pmCHf6GFzx7006rFhczjA7_8TPA5fOvTuM9lg=s88-c-k-c0x00ffffff-no-rj,False,False,1750165667.019145,
Ugz8WiXQkjaUfjOnFWh4AaABAg,"Mau berapapun yg gak suka dg dua orang ini,,,nyatanya banyak yg terbantu diluar sana",1 hari yang lalu,@PUJILESTARI0304,UCU2q2apYltxtnvRlVz1K_RA,"1,8 rb",68,https://yt3.ggpht.com/aZJHsFyPSbVIpjN-VDkmKujdxfJPLf-bkp6crUXcgtyWrhKUCibwX2A3HIymC6JqnRmx46OV=s88-c-k-c0x00ffffff-no-rj,False,False,1750165667.023082,
